category,section,title,url,description,source,stars,github_url
Build with Claude,Messages,Embeddings,https://platform.claude.com/docs/en/build-with-claude/embeddings.md,,Claude Developer Platform,,
Build with Claude,Messages,Fallback credit,https://platform.claude.com/docs/en/build-with-claude/fallback-credit.md,,Claude Developer Platform,,
Build with Claude,Messages,Fast mode (research preview),https://platform.claude.com/docs/en/build-with-claude/fast-mode.md,,Claude Developer Platform,,
Build with Claude,Messages,Files API,https://platform.claude.com/docs/en/build-with-claude/files.md,,Claude Developer Platform,,
Agents & Tools,Messages,Fine-grained tool streaming,https://platform.claude.com/docs/en/agents-and-tools/tool-use/fine-grained-tool-streaming.md,,Claude Developer Platform,,
Agents & Tools,Messages,Handle tool calls,https://platform.claude.com/docs/en/agents-and-tools/tool-use/handle-tool-calls.md,,Claude Developer Platform,,
Agents & Tools,Messages,How tool use works,https://platform.claude.com/docs/en/agents-and-tools/tool-use/how-tool-use-works.md,,Claude Developer Platform,,
Agents & Tools,Messages,Manage tool context,https://platform.claude.com/docs/en/agents-and-tools/tool-use/manage-tool-context.md,,Claude Developer Platform,,
Agents & Tools,Messages,Manage in the Console,https://platform.claude.com/docs/en/agents-and-tools/mcp-tunnels/console.md,Manage tunnels in the Console,Claude Developer Platform,,
Agents & Tools,Messages,MCP connector,https://platform.claude.com/docs/en/agents-and-tools/mcp-connector.md,,Claude Developer Platform,,
Agents & Tools,Messages,Reference,https://platform.claude.com/docs/en/agents-and-tools/mcp-tunnels/reference.md,MCP tunnels reference,Claude Developer Platform,,
Agents & Tools,Messages,Security,https://platform.claude.com/docs/en/agents-and-tools/mcp-tunnels/security.md,MCP tunnels security,Claude Developer Platform,,
Agents & Tools,Messages,Memory tool,https://platform.claude.com/docs/en/agents-and-tools/tool-use/memory-tool.md,,Claude Developer Platform,,
Build with Claude,Messages,Mid-conversation system messages,https://platform.claude.com/docs/en/build-with-claude/mid-conversation-system-messages.md,,Claude Developer Platform,,
Build with Claude,Messages,Multilingual support,https://platform.claude.com/docs/en/build-with-claude/multilingual-support.md,,Claude Developer Platform,,
Agents & Tools,Messages,Parallel tool use,https://platform.claude.com/docs/en/agents-and-tools/tool-use/parallel-tool-use.md,,Claude Developer Platform,,
Build with Claude,Messages,PDF support,https://platform.claude.com/docs/en/build-with-claude/pdf-support.md,,Claude Developer Platform,,
Agents & Tools,Messages,Programmatic tool calling,https://platform.claude.com/docs/en/agents-and-tools/tool-use/programmatic-tool-calling.md,,Claude Developer Platform,,
Build with Claude,Messages,Prompt caching,https://platform.claude.com/docs/en/build-with-claude/prompt-caching.md,,Claude Developer Platform,,
Build with Claude,Messages,Refusals and fallback,https://platform.claude.com/docs/en/build-with-claude/refusals-and-fallback.md,,Claude Developer Platform,,
Agents & Tools,Messages,Remote MCP servers,https://platform.claude.com/docs/en/agents-and-tools/remote-mcp-servers.md,,Claude Developer Platform,,
Build with Claude,Messages,Search results,https://platform.claude.com/docs/en/build-with-claude/search-results.md,,Claude Developer Platform,,
Agents & Tools,Messages,Server tools,https://platform.claude.com/docs/en/agents-and-tools/tool-use/server-tools.md,,Claude Developer Platform,,
Agents & Tools,Messages,Best practices,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/best-practices.md,Skill authoring best practices,Claude Developer Platform,,
Agents & Tools,Messages,Skills for enterprise,https://platform.claude.com/docs/en/agents-and-tools/agent-skills/enterprise.md,,Claude Developer Platform,,
Build with Claude,Messages,Stop reasons and fallback,https://platform.claude.com/docs/en/build-with-claude/handling-stop-reasons.md,,Claude Developer Platform,,
Build with Claude,Messages,Streaming Messages,https://platform.claude.com/docs/en/build-with-claude/streaming.md,Streaming messages,Claude Developer Platform,,
Test & Evaluate,Messages,Streaming refusals,https://platform.claude.com/docs/en/test-and-evaluate/strengthen-guardrails/handle-streaming-refusals.md,,Claude Developer Platform,,
Agents & Tools,Messages,Strict tool use,https://platform.claude.com/docs/en/agents-and-tools/tool-use/strict-tool-use.md,,Claude Developer Platform,,
Build with Claude,Messages,Structured outputs,https://platform.claude.com/docs/en/build-with-claude/structured-outputs.md,,Claude Developer Platform,,
Build with Claude,Messages,Task budgets (beta),https://platform.claude.com/docs/en/build-with-claude/task-budgets.md,Task budgets,Claude Developer Platform,,
Agents & Tools,Messages,Text editor tool,https://platform.claude.com/docs/en/agents-and-tools/tool-use/text-editor-tool.md,,Claude Developer Platform,,
Build with Claude,Messages,Token counting,https://platform.claude.com/docs/en/build-with-claude/token-counting.md,,Claude Developer Platform,,
Agents & Tools,Messages,Tool combinations,https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-combinations.md,,Claude Developer Platform,,
Agents & Tools,Messages,Tool reference,https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-reference.md,,Claude Developer Platform,,
Agents & Tools,Messages,Tool Runner (SDK),https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-runner.md,,Claude Developer Platform,,
Agents & Tools,Messages,Tool search,https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-search-tool.md,Tool search tool,Claude Developer Platform,,
Agents & Tools,Messages,Tool use with prompt caching,https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-use-with-prompt-caching.md,,Claude Developer Platform,,
Agents & Tools,Messages,Troubleshooting,https://platform.claude.com/docs/en/agents-and-tools/mcp-tunnels/troubleshooting.md,Troubleshoot MCP tunnels,Claude Developer Platform,,
Agents & Tools,Messages,Troubleshooting,https://platform.claude.com/docs/en/agents-and-tools/tool-use/troubleshooting-tool-use.md,Troubleshooting tool use,Claude Developer Platform,,
Agents & Tools,Messages,Tutorial: Build a tool-using agent,https://platform.claude.com/docs/en/agents-and-tools/tool-use/build-a-tool-using-agent.md,,Claude Developer Platform,,
Build with Claude,Messages,Skills in the API,https://platform.claude.com/docs/en/build-with-claude/skills-guide.md,Using Agent Skills with the API,Claude Developer Platform,,
Build with Claude,Messages,Using the Messages API,https://platform.claude.com/docs/en/build-with-claude/working-with-messages.md,,Claude Developer Platform,,
Build with Claude,Messages,Images and vision,https://platform.claude.com/docs/en/build-with-claude/vision.md,Vision,Claude Developer Platform,,
Agents & Tools,Messages,Web fetch tool,https://platform.claude.com/docs/en/agents-and-tools/tool-use/web-fetch-tool.md,,Claude Developer Platform,,
Agents & Tools,Messages,Web search tool,https://platform.claude.com/docs/en/agents-and-tools/tool-use/web-search-tool.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Overview,https://platform.claude.com/docs/en/managed-agents/overview.md,Claude Managed Agents overview,Claude Developer Platform,,
Managed Agents,Managed Agents,Quickstart,https://platform.claude.com/docs/en/managed-agents/quickstart.md,Get started with Claude Managed Agents,Claude Developer Platform,,
Managed Agents,Managed Agents,Access GitHub,https://platform.claude.com/docs/en/managed-agents/github.md,Accessing GitHub,Claude Developer Platform,,
Managed Agents,Managed Agents,Attach and download files,https://platform.claude.com/docs/en/managed-agents/files.md,Adding files,Claude Developer Platform,,
Managed Agents,Managed Agents,Authenticate with vaults,https://platform.claude.com/docs/en/managed-agents/vaults.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Cloud environment setup,https://platform.claude.com/docs/en/managed-agents/environments.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Cloud sandbox reference,https://platform.claude.com/docs/en/managed-agents/cloud-sandboxes-reference.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Define outcomes,https://platform.claude.com/docs/en/managed-agents/define-outcomes.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Agent setup,https://platform.claude.com/docs/en/managed-agents/agent-setup.md,Define your agent,Claude Developer Platform,,
Managed Agents,Managed Agents,Dreams,https://platform.claude.com/docs/en/managed-agents/dreams.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,MCP connector,https://platform.claude.com/docs/en/managed-agents/mcp-connector.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Multiagent sessions,https://platform.claude.com/docs/en/managed-agents/multi-agent.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Permission policies,https://platform.claude.com/docs/en/managed-agents/permission-policies.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Prototype in Console,https://platform.claude.com/docs/en/managed-agents/onboarding.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Managed Agents reference,https://platform.claude.com/docs/en/managed-agents/reference.md,Reference,Claude Developer Platform,,
Managed Agents,Managed Agents,Scheduled deployments,https://platform.claude.com/docs/en/managed-agents/scheduled-deployments.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Security model,https://platform.claude.com/docs/en/managed-agents/self-hosted-sandboxes-security.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Integration guide,https://platform.claude.com/docs/en/managed-agents/self-hosted-sandboxes.md,Self-hosted sandboxes,Claude Developer Platform,,
Managed Agents,Managed Agents,Session event stream,https://platform.claude.com/docs/en/managed-agents/events-and-streaming.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Session operations,https://platform.claude.com/docs/en/managed-agents/session-operations.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Agent Skills,https://platform.claude.com/docs/en/managed-agents/skills.md,Skills,Claude Developer Platform,,
Managed Agents,Managed Agents,Start a session,https://platform.claude.com/docs/en/managed-agents/sessions.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Subscribe to webhooks,https://platform.claude.com/docs/en/managed-agents/webhooks.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Tools,https://platform.claude.com/docs/en/managed-agents/tools.md,,Claude Developer Platform,,
Managed Agents,Managed Agents,Memory stores,https://platform.claude.com/docs/en/managed-agents/memory.md,Using agent memory,Claude Developer Platform,,
Admin & Management,Admin,Access Transparency,https://platform.claude.com/docs/en/manage-claude/access-transparency.md,,Claude Developer Platform,,
Admin & Management,Admin,Admin API,https://platform.claude.com/docs/en/manage-claude/admin-api.md,,Claude Developer Platform,,
Admin & Management,Admin,Analytics APIs,https://platform.claude.com/docs/en/manage-claude/analytics-api.md,,Claude Developer Platform,,
Admin & Management,Admin,API and data retention,https://platform.claude.com/docs/en/manage-claude/api-and-data-retention.md,,Claude Developer Platform,,
Admin & Management,Admin,Overview,https://platform.claude.com/docs/en/manage-claude/authentication.md,Authentication,Claude Developer Platform,,
Admin & Management,Admin,Claude Code Analytics API,https://platform.claude.com/docs/en/manage-claude/claude-code-analytics-api.md,,Claude Developer Platform,,
Admin & Management,Admin,Overview,https://platform.claude.com/docs/en/manage-claude/compliance-api.md,Compliance API,Claude Developer Platform,,
Admin & Management,Admin,FAQ,https://platform.claude.com/docs/en/manage-claude/compliance-faq.md,Compliance API FAQ,Claude Developer Platform,,
Admin & Management,Admin,AWS KMS,https://platform.claude.com/docs/en/manage-claude/cmek-aws-kms.md,Configure AWS KMS for CMEK,Claude Developer Platform,,
Admin & Management,Admin,Azure Key Vault,https://platform.claude.com/docs/en/manage-claude/cmek-azure-key-vault.md,Configure Azure Key Vault for CMEK,Claude Developer Platform,,
Admin & Management,Admin,Google Cloud KMS,https://platform.claude.com/docs/en/manage-claude/cmek-google-cloud-kms.md,Configure Google Cloud KMS for CMEK,Claude Developer Platform,,
Admin & Management,Admin,Create an Admin API key,https://platform.claude.com/docs/en/manage-claude/admin-api-keys.md,,Claude Developer Platform,,
Admin & Management,Admin,Overview,https://platform.claude.com/docs/en/manage-claude/cmek.md,Customer-managed encryption keys,Claude Developer Platform,,
Admin & Management,Admin,Data residency,https://platform.claude.com/docs/en/manage-claude/data-residency.md,,Claude Developer Platform,,
Admin & Management,Admin,Design your integration,https://platform.claude.com/docs/en/manage-claude/compliance-integration-patterns.md,Design your compliance integration,Claude Developer Platform,,
Admin & Management,Admin,Get access,https://platform.claude.com/docs/en/manage-claude/compliance-api-access.md,Get access to the Compliance API,Claude Developer Platform,,
Admin & Management,Admin,Errors,https://platform.claude.com/docs/en/manage-claude/compliance-errors.md,Handle Compliance API errors,Claude Developer Platform,,
Admin & Management,Admin,"Organizations, users, roles, groups, and settings",https://platform.claude.com/docs/en/manage-claude/compliance-org-data.md,"List organizations, users, roles, groups, and settings",Claude Developer Platform,,
Admin & Management,Admin,Manage WIF via API,https://platform.claude.com/docs/en/manage-claude/wif-admin-api.md,Manage WIF with the Admin API,Claude Developer Platform,,
Admin & Management,Admin,Activity Feed,https://platform.claude.com/docs/en/manage-claude/compliance-activity-feed.md,Query the Activity Feed,Claude Developer Platform,,
Admin & Management,Admin,Rate Limits API,https://platform.claude.com/docs/en/manage-claude/rate-limits-api.md,,Claude Developer Platform,,
Admin & Management,Admin,"Chats, files, and projects",https://platform.claude.com/docs/en/manage-claude/compliance-content-data.md,"Retrieve and delete chats, files, and projects",Claude Developer Platform,,
Admin & Management,Admin,Spend Limits API,https://platform.claude.com/docs/en/manage-claude/spend-limits-api.md,,Claude Developer Platform,,
Admin & Management,Admin,Usage and Cost API,https://platform.claude.com/docs/en/manage-claude/usage-cost-api.md,,Claude Developer Platform,,
Admin & Management,Admin,AWS,https://platform.claude.com/docs/en/manage-claude/wif-providers/aws.md,Use WIF with AWS,Claude Developer Platform,,
Admin & Management,Admin,GitHub Actions,https://platform.claude.com/docs/en/manage-claude/wif-providers/github-actions.md,Use WIF with GitHub Actions,Claude Developer Platform,,
Admin & Management,Admin,Google Cloud,https://platform.claude.com/docs/en/manage-claude/wif-providers/gcp.md,Use WIF with Google Cloud,Claude Developer Platform,,
Admin & Management,Admin,Kubernetes,https://platform.claude.com/docs/en/manage-claude/wif-providers/kubernetes.md,Use WIF with Kubernetes,Claude Developer Platform,,
Admin & Management,Admin,Microsoft Entra ID,https://platform.claude.com/docs/en/manage-claude/wif-providers/azure.md,Use WIF with Microsoft Entra ID,Claude Developer Platform,,
Admin & Management,Admin,Okta,https://platform.claude.com/docs/en/manage-claude/wif-providers/okta.md,Use WIF with Okta,Claude Developer Platform,,
Admin & Management,Admin,SPIFFE,https://platform.claude.com/docs/en/manage-claude/wif-providers/spiffe.md,Use WIF with SPIFFE,Claude Developer Platform,,
Admin & Management,Admin,WIF reference,https://platform.claude.com/docs/en/manage-claude/wif-reference.md,,Claude Developer Platform,,
Admin & Management,Admin,Workload Identity Federation,https://platform.claude.com/docs/en/manage-claude/workload-identity-federation.md,,Claude Developer Platform,,
Admin & Management,Admin,Workspaces,https://platform.claude.com/docs/en/manage-claude/workspaces.md,,Claude Developer Platform,,
GitHub (anthropics),Repositories,anthropics/claude-cookbooks,anthropic-collection/claude-cookbooks,"The Claude Cookbooks provide code and guides designed to help developers build with Claude, offering copy-able code snippets that you can easily integrate into your own projects. To make the most of the examples in this cookbook, you'll need a Claude API key (sign up for free [here](https://www.anth",Local: anthropics,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks,Claude Cookbooks,anthropic-collection/claude-cookbooks/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities,Claude Capabilities,anthropic-collection/claude-cookbooks/capabilities/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/classification,Classification with Claude,anthropic-collection/claude-cookbooks/capabilities/classification/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/classification,guide.ipynb,anthropic-collection/claude-cookbooks/capabilities/classification/guide.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/classification/evaluation,Evaluations with Promptfoo,anthropic-collection/claude-cookbooks/capabilities/classification/evaluation/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/contextual-embeddings,Retrieval Augmented Generation with Contextual Embeddings,anthropic-collection/claude-cookbooks/capabilities/contextual-embeddings/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/contextual-embeddings,guide.ipynb,anthropic-collection/claude-cookbooks/capabilities/contextual-embeddings/guide.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/knowledge_graph,Knowledge Graph Construction with Claude,anthropic-collection/claude-cookbooks/capabilities/knowledge_graph/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/knowledge_graph,guide.ipynb,anthropic-collection/claude-cookbooks/capabilities/knowledge_graph/guide.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/knowledge_graph/evaluation,Knowledge Graph Extraction Evaluation,anthropic-collection/claude-cookbooks/capabilities/knowledge_graph/evaluation/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/retrieval_augmented_generation,Retrieval Augmented Generation with Claude,anthropic-collection/claude-cookbooks/capabilities/retrieval_augmented_generation/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/retrieval_augmented_generation,guide.ipynb,anthropic-collection/claude-cookbooks/capabilities/retrieval_augmented_generation/guide.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/retrieval_augmented_generation/evaluation,Evaluations with Promptfoo,anthropic-collection/claude-cookbooks/capabilities/retrieval_augmented_generation/evaluation/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/summarization,Summarization with Claude,anthropic-collection/claude-cookbooks/capabilities/summarization/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/summarization,guide.ipynb,anthropic-collection/claude-cookbooks/capabilities/summarization/guide.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/summarization/evaluation,Evaluations with Promptfoo,anthropic-collection/claude-cookbooks/capabilities/summarization/evaluation/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/text_to_sql,Text-to-SQL with Claude,anthropic-collection/claude-cookbooks/capabilities/text_to_sql/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/text_to_sql,guide.ipynb,anthropic-collection/claude-cookbooks/capabilities/text_to_sql/guide.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/capabilities/text_to_sql/evaluation,Evaluations with Promptfoo,anthropic-collection/claude-cookbooks/capabilities/text_to_sql/evaluation/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk,00_The_one_liner_research_agent.ipynb,anthropic-collection/claude-cookbooks/claude_agent_sdk/00_The_one_liner_research_agent.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk,01_The_chief_of_staff_agent.ipynb,anthropic-collection/claude-cookbooks/claude_agent_sdk/01_The_chief_of_staff_agent.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk,02_The_observability_agent.ipynb,anthropic-collection/claude-cookbooks/claude_agent_sdk/02_The_observability_agent.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk,03_The_site_reliability_agent.ipynb,anthropic-collection/claude-cookbooks/claude_agent_sdk/03_The_site_reliability_agent.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk,04_migrating_from_openai_agents_sdk.ipynb,anthropic-collection/claude-cookbooks/claude_agent_sdk/04_migrating_from_openai_agents_sdk.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk,05_Building_a_session_browser.ipynb,anthropic-collection/claude-cookbooks/claude_agent_sdk/05_Building_a_session_browser.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk,06_The_vulnerability_detection_agent.ipynb,anthropic-collection/claude-cookbooks/claude_agent_sdk/06_The_vulnerability_detection_agent.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk,07_Hosting_the_agent.ipynb,anthropic-collection/claude-cookbooks/claude_agent_sdk/07_Hosting_the_agent.ipynb,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk,Building Powerful Agents with the Claude Agent SDK,anthropic-collection/claude-cookbooks/claude_agent_sdk/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk/chief_of_staff_agent,Chief of Staff Agent Architecture,anthropic-collection/claude-cookbooks/claude_agent_sdk/chief_of_staff_agent/flow_diagram.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk/chief_of_staff_agent/output_reports,Q2 2024 Financial Forecast Report,anthropic-collection/claude-cookbooks/claude_agent_sdk/chief_of_staff_agent/output_reports/Q2_2024_Financial_Forecast.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk/chief_of_staff_agent/output_reports,Budget Impact Analysis: Hiring 3 Senior Engineers,anthropic-collection/claude-cookbooks/claude_agent_sdk/chief_of_staff_agent/output_reports/hiring_decision.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk/hosting,Hosting the research agent,anthropic-collection/claude-cookbooks/claude_agent_sdk/hosting/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk/hosting/docker,Tier 1 — Local Docker,anthropic-collection/claude-cookbooks/claude_agent_sdk/hosting/docker/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk/hosting/kubernetes,Tier 3 — Kubernetes (pod-per-session),anthropic-collection/claude-cookbooks/claude_agent_sdk/hosting/kubernetes/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
GitHub (anthropics),claude-cookbooks/claude_agent_sdk/hosting/modal,Tier 2 — Modal,anthropic-collection/claude-cookbooks/claude_agent_sdk/hosting/modal/README.md,,Local: anthropics/claude-cookbooks,,https://github.com/anthropics/claude-cookbooks
